year,quarter,level,entity,count,amount
2020,2,states,maharashtra,39836,6879717.0
2020,2,states,karnataka,27358,4794150.0
2020,2,states,andhra pradesh,22104,3982391.0
2020,2,states,telangana,19003,3419453.0
2020,2,states,delhi,11716,1897480.0
2020,2,states,uttar pradesh,9884,1912266.0
2020,2,states,gujarat,7697,1430591.0
2020,2,states,west bengal,7619,1432764.0
2020,2,states,haryana,6321,1179814.0
2020,2,states,madhya pradesh,6283,1198701.0
2020,2,districts,bengaluru urban,20040,3301769.0
2020,2,districts,pune,8699,1482628.0
2020,2,districts,thane,7559,1221018.0
2020,2,districts,mumbai suburban,5780,884439.0
2020,2,districts,hyderabad,4783,805518.0
2020,2,districts,rangareddy,4495,778492.0
2020,2,districts,medchal malkajgiri,4150,711890.0
2020,2,districts,visakhapatnam,3504,614212.0
2020,2,districts,aurangabad,2898,509460.0
2020,2,districts,anantapur,2739,485777.0
2020,2,pincodes,560068,1076,168415.0
2020,2,pincodes,560037,1034,155914.0
2020,2,pincodes,110059,895,132104.0
2020,2,pincodes,560076,802,124790.0
2020,2,pincodes,500072,760,122394.0
2020,2,pincodes,560078,742,119673.0
2020,2,pincodes,421201,668,104388.0
2020,2,pincodes,560100,651,103528.0
2020,2,pincodes,431003,651,107122.0
2020,2,pincodes,110092,638,94570.0
2020,3,states,maharashtra,71662,19230156.0
2020,3,states,karnataka,53701,12407394.0
2020,3,states,andhra pradesh,49812,12426481.0
2020,3,states,telangana,34395,8406543.0
2020,3,states,uttar pradesh,18131,4436969.0
2020,3,states,rajasthan,15235,3758527.0
2020,3,states,madhya pradesh,14476,3496126.0
2020,3,states,west bengal,12596,2878482.0
2020,3,states,gujarat,12525,3335812.0
2020,3,states,odisha,10955,2640191.0
2020,3,districts,bengaluru urban,32192,6940765.0
2020,3,districts,pune,18176,4567561.0
2020,3,districts,visakhapatnam,7906,1892376.0
2020,3,districts,thane,6951,1718946.0
2020,3,districts,rangareddy,6340,1509162.0
2020,3,districts,hyderabad,6331,1397580.0
2020,3,districts,medchal malkajgiri,5929,1415970.0
2020,3,districts,nashik,5564,1418697.0
2020,3,districts,spsr nellore,5509,1259159.0
2020,3,districts,krishna,4519,1093882.0
2020,3,pincodes,560068,1603,340876.0
2020,3,pincodes,560076,1148,250474.0
2020,3,pincodes,560078,1124,243443.0
